㐀,廿一,TM
㐁,一人田,MOW
㐂,心心心,PPP
㐃,人一中,OML
㐄,十女,JV
㐅,大,K
㐆,竹尸一尸,HSMS
㐇,大弓弓,KNN
㐈,人弓,ON
㐉,一弓弓,MNN
㐊,土弓,GN
㐋,土弓,GN
㐌,人心木,OPD
㐍,月弓,BN
㐎,卜大弓,YKN
㐏,一一弓,MMN
㐐,女水弓,VEN
㐑,竹水卜弓,HEYN
㐒,尸口弓,SRN
㐓,一弓口弓,MNRN
㐔,卜口弓,YRN
㐕,中田弓,LWN
㐖,土口山,GRU
㐗,十心弓,JPN
㐘,火木弓,FDN
㐙,一口廿弓,MRTN
㐚,一一口弓,MMRN
㐛,人口弓,ORN
㐜,戈水大弓,IEKN
㐝,手口弓,QRN
㐞,廿金弓,TCN
㐟,中卜弓,LYN
㐠,月山弓,BUN
㐡,大弓一月大,KNMBK
㐢,水木弓,EDN
㐣,戈十十弓,IJJN
㐤,大弓十月金,KNJBC
㐥,金尸弓,CSN
㐦,竹手弓,HQN
㐧,戈弓弓竹,INNH
㐨,弓弓弓戈弓,NNNIN
㐩,廿廿廿廿,TTTT
㐪,卜人山,YOU
㐫,卜山大,YUK
㐬,卜戈竹山,YIHU
㐭,卜田口,YWR
㐮,卜金廿廿女,YCTTV
㐯,卜口口日,YRRA
㐰,人口,OR
㐱,人竹竹竹,OHHH
㐲,人大,OK
㐳,人一山,OMU
㐴,人弓戈,ONI
㐵,人一木,OMD
㐶,人口山,ORU
㐷,人弓女一,ONVM
㐸,人弓人,ONO
㐹,人人一弓,OOMN
㐺,人人人,OOO
㐻,人人月,OOB
㐼,人竹廿,OHT
㐽,人竹弓大,OHNK
㐾,人一一山,OMMU
㐿,人手,OQ
㑀,人大戈,OKI
㑁,人山山,OUU
㑂,人一人月,OMOB
㑃,人女戈尸,OVIS
㑄,人田卜戈,OWYI
㑅,人人卜一,OOYM
㑆,人口竹山,ORHU
㑇,人弓尸一,ONSM
㑈,人大木,OKD
㑉,人竹弓弓,OHNN
㑊,人卜中金,OYLC
㑋,人廿田,OTW
㑌,人尸一土,OSMG
㑍,人手木,OQD
㑎,人女女山,OVVU
㑏,人十木戈,OJDI
㑐,人卜一火,OYMF
㑑,人竹月山,OHBU
㑒,人一中人,OMLO
㑓,人戈大水,OIKE
㑔,人一月人,OMBO
㑕,人山弓戈,OUNI
㑖,人人中,OOL
㑗,人竹難竹,OHXH
㑘,人戈廿,OIT
㑙,人尸十山,OSJU
㑚,人尸手中,OSQL
㑛,人木中,ODL
㑜,人手竹中,OQHL
㑝,人一土廿,OMGT
㑞,人火廿,OFT
㑟,人人一金,OOMC
㑠,人中水土,OLEG
㑡,人日戈中,OAIL
㑢,人土戈中,OGIL
㑣,人木木,ODD
㑤,人廿田,OTW
㑥,人日心竹,OAPH
㑦,人戈尸大,OISK
㑧,人竹木木,OHDD
㑨,人口人大,OROK
㑩,人田中弓,OWLN
㑪,人卜大中,OYKL
㑫,人人戈心,OOIP
㑬,人女十口,OVJR
㑭,人田一中,OWML
㑮,人月十十,OBJJ
㑯,人一月金,OMBC
㑰,人女弓人,OVNO
㑱,人弓竹木,ONHD
㑲,人十月十,OJBJ
㑳,人心山山,OPUU
㑴,人尸一水,OSME
㑵,人大人大,OKOK
㑶,人人弓木,OOND
㑷,人戈月心,OIBP
㑸,人十口口,OJRR
㑹,人一田日,OMWA
㑺,人人土尸,OOGS
㑻,人十心山,OJPU
㑼,人田竹口,OWHR
㑽,人火月土,OFBG
㑾,人月卜口,OBYR
㑿,人女女木,OVVD
㒀,人卜金月,OYCB
㒁,人田土十,OWGJ
㒂,人廿十日,OTJA
㒃,人戈心金,OIPC
㒄,人月大火,OBKF
㒅,人卜弓女,OYNV
㒆,人人口一,OORM
㒇,人人廿火,OOTF
㒈,人弓十大,ONJK
㒉,人火月木,OFBD
㒊,人尸戈一,OSIM
㒋,人廿金中,OTCL
㒌,人火火弓,OFFN
㒍,人戈戈火,OIIF
㒎,人一大卜,OMKY
㒏,人十廿卜,OJTY
㒐,人竹心日,OHPA
㒑,人尸水土,OSEG
㒒,人廿金木,OTCD
㒓,人卜土手,OYGQ
㒔,人田中戈,OWLI
㒕,人卜女土,OYVG
㒖,人廿田月,OTWB
㒗,人廿月土,OTBG
㒘,人尸水廿,OSET
㒙,人女火月,OVFB
㒚,人月一心,OBMP
㒛,人尸一土,OSMG
㒜,人竹難金,OHXC
㒝,人廿田戈,OTWI
㒞,人山人尸,OUOS
㒟,人卜尸女,OYSV
㒠,人卜水一,OYEM
㒡,人月山火,OBUF
㒢,人人一月,OOMB
㒣,人戈人心,OIOP
㒤,人尸十十,OSJJ
㒥,人山十廿,OUJT
㒦,人田田土,OWWG
㒧,人卜月土,OYBG
㒨,人竹難山,OHXU
㒩,人女人戈,OVOI
㒪,人尸尸人,OSSO
㒫,一卜一山,MYMU
㒬,一山一土,MUMG
㒭,口山口竹山,RURHU
㒮,一山一尸人,MUMSO
㒯,火山廿一十,FUTMJ
㒰,人一,OM
㒱,人弓戈,ONI
㒲,人日,OA
㒳,月中人人,BLOO
㒴,人山山,OUU
㒵,竹日金,HAC
㒶,金竹日,CHA
㒷,月人一金,BOMC
㒸,廿心竹人,TPHO
㒹,十金十月金,JCJBC
㒺,月廿人女,BTOV
㒻,日月山山,ABUU
㒼,廿中月人,TLBO
㒽,日火手山,AFQU
㒾,日卜尸木,AYSD
㒿,日卜月土,AYBG
㓀,月卜,BY
㓁,月金,BC
㓂,月一山女,BMUV
㓃,月卜口心,BYRP
㓄,戈竹中月山,IHLBU
㓅,戈一一弓,IMMN
㓆,戈一人心,IMOP
㓇,戈一竹大,IMHK
㓈,戈一一口,IMMR
㓉,戈一竹十口,IMHJR
㓊,戈一月一口,IMBMR
㓋,戈一廿金,IMTC
㓌,戈一人一土,IMOMG
㓍,戈一卜戈山,IMYIU
㓎,戈一尸一水,IMSME
㓏,戈一月金口,IMBCR
㓐,戈一土金土,IMGCG
㓑,戈一土廿十,IMGTJ
㓒,戈心人心,IPOP
㓓,戈一十月十,IMJBJ
